iata	airport	city	country	prominent
AAA	Anaa	Anaa	French Polynesia	false
AAB	Arrabury	Arrabury	Australia	false
AAE	Les Salines	Annaba	Algeria	false
AAF	Apalachicola Regional	Apalachicola	United States	false
AAG	Arapoti	Arapoti	Brazil	false
AAI	Arraias	Arraias	Brazil	false
AAJ	Cayana Airstrip	Awaradam	Suriname	false
AAK	Aranuka	Aranuka	Kiribati	false
AAL	Aalborg	Aalborg	Denmark	false
AAM	Mala Mala	Mala Mala	South Africa	false
AAN	Al Ain	Al Ain	United Arab Emirates	false
AAO	Anaco	Anaco	Venezuela	false
AAR	Aarhus Airport	Aarhus	Denmark	false
AAS	Apalapsili	Apalapsili	Indonesia	false
AAT	Altay	Altay	China	false
AAU	Asau	Asau	Samoa	false
AAV	Allah Valley	Surallah	Philippines	false
AAW	Abbottabad	Abbottabad	Pakistan	false
AAX	Araxa	Araxa	Brazil	false
AAY	Al Ghaydah	Al Ghaydah	Yemen	false
AAZ	Quetzaltenango	Quetzaltenango	Guatemala	false
ABA	Abakan	Abakan	Russia	true
ABB	RAF Station	Asaba	Nigeria	false
ABC	Los Llanos	Albacete	Spain	false
ABD	Abadan	Abadan	Iran	false
ABE	Lehigh Valley International	Allentown	United States	false
ABF	Abaiang	Abaiang	Kiribati	false
ABH	Alpha	Alpha	Australia	false
ABI	Municipal	Abilene	United States	false
ABJ	Felix Houphouet Boigny	Abidjan	Ivory Coast	true
ABK	Kabri Dar	Kabri Dar	Ethiopia	false
ABL	Ambler	Ambler	United States	false
ABM	Bamaga Injinoo	Bamaga	Australia	false
ABN	Albina	Albina	Suriname	false
ABO	Aboisso	Aboisso	Ivory Coast	false
ABP	Atkamba	Atkamba	Papua New Guinea	false
ABQ	Albuquerque International	Albuquerque	United States	false
ABR	Municipal	Aberdeen	United States	false
ABS	Abu Simbel	Abu Simbel	Egypt	false
ABT	Al-Aqiq	Al-Baha	Saudi Arabia	true
ABU	Atambua	Atambua	Indonesia	false
ABV	Nnamdi Azikiwe International Airport	Abuja	Nigeria	true
ABW	Abau	Abau	Papua New Guinea	false
ABX	Albury	Albury	Australia	false
ABY	Dougherty County	Albany	United States	false
ABZ	Dyce	Aberdeen	United Kingdom	true
ACA	General Juan N. Alvarez International	Acapulco	Mexico	false
ACB	Antrim County	Bellaire	United States	false
ACC	Kotoka International Airport	Accra	Ghana	true
ACD	Acandi	Acandi	Colombia	false
ACE	Lanzarote	Arrecife	Spain	true
ACH	Altenrhein	Altenrhein	Switzerland	false
ACI	The Blaye	Alderney	Guernsey	false
ACJ	Anuradhapura	Anuradhapura	Sri Lanka	false
ACK	Nantucket Memorial	Nantucket	United States	false
ACL	Aguaclara	Aguaclara	Colombia	false
ACM	Arica	Arica	Colombia	false
ACN	International	Acuna	Mexico	false
ACR	Araracuara	Araracuara	Colombia	false
ACS	Achinsk	Achinsk	Russia	false
ACT	Municipal	Waco	United States	false
ACU	Achutupo	Achutupo	Panama	false
ACV	Arcata	Arcata	United States	false
ACX	Xingyi	Xingyi	China	false
ACY	Atlantic City International	Atlantic City	United States	false
ACZ	Zabol Airport	Zabol	Iran	false
ADA	Adana	Adana	Turkey	false
ADB	Adnan Menderes Airport	Izmir	Turkey	true
ADC	Andakombe	Andakombe	Papua New Guinea	false
ADD	Bole International	Addis Ababa	Ethiopia	true
ADE	International	Aden	Yemen	false
ADF	Adiyaman	Adiyaman	Turkey	false
ADG	Lenawee County	Adrian	United States	false
ADH	Aldan	Aldan	Russia	false
ADI	Arandis	Arandis	Namibia	false
ADJ	Marka International Airport	Amman	Jordan	false
ADK	Adak Island Ns	Adak Island	United States	false
ADL	Adelaide International Airport	Adelaide	Australia	true
ADM	Ardmore Municipal Airport	Ardmore	United States	false
ADN	Andes	Andes	Colombia	false
ADO	Andamooka	Andamooka	Australia	false
ADP	Ampara	Ampara	Sri Lanka	false
ADQ	Kodiak Airport	Kodiak	United States	false
ADR	Andrews	Andrews	United States	false
ADS	Addison Airport	Dallas	United States	false
ADT	Ada Municipal	Ada	United States	false
ADU	Ardabil	Ardabil	Iran	false
ADW	Andrews AFB	Camp Springs	United States	false
ADX	Leuchars	St Andrews	United Kingdom	false
ADY	Alldays	Alldays	South Africa	false
ADZ	San Andres Island	San Andres Island	Colombia	false
AEA	Abemama Atoll	Abemama Atoll	Kiribati	false
AEB	Youjiang	Baise	China	false
AED	Aleneva	Aleneva	United States	false
AEE	Adareil	Adareil	South Sudan	false
AEG	Aek Godang	Aek Godang	Indonesia	false
AEH	Abeche	Abéché	Chad	false
AEI	Algeciras	Algeciras	Spain	false
AEK	Aseki	Aseki	Papua New Guinea	false
AEL	Albert Lea	Albert Lea	United States	false
AEO	Aioun El Atrouss	Aioun El Atrouss	Mauritania	false
AEP	Aeroparque Jorge Newbery	Buenos Aires	Argentina	true
AER	Sochi International Airport	Sochi	Russia	true
AES	Vigra	Aalesund	Norway	false
AET	Allakaket	Allakaket	United States	false
AEU	Abu Musa	Abu Musa	Iran	false
AEX	Alexandria International	Alexandria	United States	false
AEY	Akureyri	Akureyri	Iceland	false
AFA	San Rafael	San Rafael	Argentina	false
AFD	Port Alfred	Port Alfred	South Africa	false
AFF	USAF Academy Airstrip	Colorado Springs	United States	false
AFI	Amalfi	Amalfi	Colombia	false
AFK	Kondavattavan Tank	Ampara	Sri Lanka	false
AFL	Alta Floresta	Alta Floresta	Brazil	false
AFN	Municipal	Jaffrey	United States	false
AFO	Municipal	Afton	United States	false
AFR	Afore	Afore	Papua New Guinea	false
AFS	Zarafshan	Zarafshan	Uzbekistan	false
AFT	Afutara Aerodrome	Afutara	Solomon Islands	false
AFW	Fort Worth Alliance	Dallas	United States	false
AFY	Afyon	Afyon	Turkey	false
AGA	Al Massira	Agadir	Morocco	true
AGB	Augsburg - Muehlhausen	Munich	Germany	false
AGC	Allegheny County	Pittsburgh	United States	false
AGD	Anggi	Anggi	Indonesia	false
AGE	Flugplatz	Wangerooge	Germany	false
AGF	La Garenne	Agen	France	false
AGG	Angoram	Angoram	Papua New Guinea	false
AGH	Angelholm	Angelholm	Sweden	false
AGI	Wageningen	Wageningen	Suriname	false
AGJ	Aguni	Aguni	Japan	false
AGK	Kagua	Kagua	Papua New Guinea	false
AGL	Wanigela	Wanigela	Papua New Guinea	false
AGM	Tasiilaq	Tasiilaq	Greenland	false
AGN	Angoon	Angoon	United States	false
AGO	Municipal	Magnolia	United States	false
AGP	Malaga Costa del Sol Airport	Malaga	Spain	true
AGR	Kheria	Agra	India	false
AGS	Bush Field	Augusta	United States	false
AGT	Alejo Garcia	Ciudad Del Este	Paraguay	false
AGU	Aguascalients	Aguascalientes	Mexico	false
AGV	Acarigua	Acarigua	Venezuela	false
AGW	Agnew	Agnew	Australia	false
AGX	Agatti Island	Agatti Island	India	false
AGZ	Aggeneys	Aggeneys	South Africa	false
AHA	Naha AFB	Okinawa	Japan	false
AHB	Abha	Abha	Saudi Arabia	true
AHC	Amedee AAF	Herlong	United States	false
AHD	Downtown	Ardmore	United States	false
AHE	Ahe Airport	Ahe	French Polynesia	false
AHF	Municipal	Arapahoe	United States	false
AHH	Municipal	Amery	United States	false
AHI	Amahai	Amahai	Indonesia	false
AHL	Aishalton	Aishalton	Guyana	false
AHM	Sumner Parker Field	Ashland	United States	false
AHN	Athens-Ben Epps	Athens	United States	false
AHO	Fertilia	Alghero	Italy	false
AHS	Ahuas	Ahuas	Honduras	false
AHU	Charif Al Idrissi	Al Hoceima	Morocco	false
AHW	Saih Rawl	Saih Rawl	Oman	false
AHY	Ambatolahy	Ambatolahy	Madagascar	false
AHZ	Alpe D Huez	Alpe D Huez	France	false
AIA	Alliance	Alliance	United States	false
AIB	Anita Bay	Anita Bay	United States	false
AIC	Airok	Airok	Marshall Islands	false
AID	Municipal	Anderson	United States	false
AIE	Aiome	Aiome	Papua New Guinea	false
AIF	Assis	Assis	Brazil	false
AIG	Yalinga	Yalinga	Central African Republic	false
AIH	Aiambak	Aiambak	Papua New Guinea	false
AII	Alisabieh	Alisabieh	Djibouti	false
AIK	Municipal	Aiken	United States	false
AIL	Ailigandi	Ailigandi	Panama	false
AIM	Ailuk Island	Ailuk Island	Marshall Islands	false
AIN	Wainwright	Wainwright	United States	false
AIO	Municipal	Atlantic	United States	false
AIP	Ailinglapalap Island	Ailinglapalap Island	Marshall Islands	false
AIR	Aripuana	Aripuana	Brazil	false
AIS	Arorae Island	Arorae Island	Kiribati	false
AIT	Aitutaki	Aitutaki	Cook Islands	false
AIU	Atiu Island	Atiu Island	Cook Islands	false
AIV	George Downer	Aliceville	United States	false
AIW	Ai-ais	Ai-ais	Namibia	false
AIZ	Lee C Fine Memorial	Kaiser	United States	false
AJA	Campo Dell Oro	Ajaccio	France	false
AJF	Jouf	Sakaka Al Jouf	Saudi Arabia	true
AJI	Agri	Agri	Turkey	false
AJJ	Akjoujt	Akjoujt	Mauritania	false
AJK	Araak	Araak	Iran	false
AJL	Aizawl	Aizawl	India	false
AJN	Ouani	Anjouan	Comoros	false
AJR	Arvidsjaur	Arvidsjaur	Sweden	false
AJS	Abreojos	Abreojos	Mexico	false
AJU	Santa Maria	Aracaju	Brazil	false
AJY	Agades	Agades	Niger	false
AKA	Ankang	Ankang	China	false
AKB	Atka	Atka	United States	false
AKC	Fulton International	Akron/Canton	United States	false
AKD	Akola	Akola	India	false
AKE	Akieni	Akieni	Gabon	false
AKF	Kufrah	Kufrah	Libya	false
AKG	Anguganak	Anguganak	Papua New Guinea	false
AKH	Prince Sultan Air Base	Al Kharj	Saudi Arabia	false
AKI	Akiak	Akiak	United States	false
AKJ	Asahikawa	Asahikawa	Japan	false
AKK	Akhiok SPB	Akhiok	United States	false
AKL	Auckland International	Auckland	New Zealand	false
AKM	Zakouma	Zakouma	Chad	false
AKN	King Salmon	King Salmon	United States	false
AKO	Colorado Plains Regional Airport	Akron	United States	false
AKP	Anaktuvuk	Anaktuvuk	United States	false
AKQ	Gunung Batin	Astraksetra	Indonesia	false
AKR	Akure	Akure	Nigeria	false
AKS	Gwaunaru'u	Auki	Solomon Islands	false
AKT	Raf Akrotiri	Akrotiri	Cyprus	false
AKU	Aksu	Aksu	China	false
AKV	Akulivik	Akulivik	Canada	false
AKW	Aghajari	Aghajari	Iran	false
AKX	Aktyubinsk	Aktyubinsk	Kazakhstan	false
AKY	Civil	Sittwe	Myanmar	false
ALA	Almaty International Airport	Almaty	Kazakhstan	true
ALB	Albany International	Albany	United States	false
ALC	Alicante Elche Miguel Hernandez Airport	Alicante	Spain	true
ALD	Alerta	Alerta	Peru	false
ALE	Alpine	Alpine	United States	false
ALF	Alta	Alta	Norway	false
ALG	Houari Boumediene	Algiers	Algeria	false
ALH	Albany	Albany	Australia	false
ALI	International	Alice	United States	false
ALJ	Kortdoorn	Alexander Bay	South Africa	false
ALK	Asela	Asela	Ethiopia	false
ALL	Albenga	Albenga	Italy	false
ALM	Municipal	Alamogordo	United States	false
ALN	Alton	Alton	United States	false
ALO	Waterloo	Waterloo	United States	false
ALP	Nejrab	Aleppo	Syria	false
ALQ	Federal	Alegrete	Brazil	false
ALR	Alexandra	Alexandra	New Zealand	false
ALS	Municipal	Alamosa	United States	false
ALT	Alenquer	Alenquer	Brazil	false
ALU	Alula	Alula	Somalia	false
ALW	Walla Walla	Walla Walla	United States	false
ALX	Thomas C Russell Field	Alexander City	United States	false
ALY	El Nohza	Alexandria	Egypt	false
ALZ	Alitak SPB	Alitak	United States	false
AMA	Rick Husband Amarillo International	Amarillo	United States	false
AMB	Ambilobe	Ambilobe	Madagascar	false
AMC	Am Timan	Am Timan	Chad	false
AME	Alto Molocue	Alto Molocue	Mozambique	false
AMF	Ama	Ama	Papua New Guinea	false
AMG	Amboin	Amboin	Papua New Guinea	false
AMH	Arba Mintch	Arba Mintch	Ethiopia	false
AMJ	Almenara	Almenara	Brazil	false
AMK	Animas Airpark	Durango	United States	false
AMM	Queen Alia International	Amman	Jordan	true
AMN	Gratiot Community	Alma	United States	false
AMO	Mao	Mao	Chad	false
AMP	Ampanihy	Ampanihy	Madagascar	false
AMQ	Pattimura	Ambon	Indonesia	true
AMR	Arno	Arno	Marshall Islands	false
AMS	Schiphol	Amsterdam	Netherlands	true
AMT	Amata	Amata	Australia	false
AMU	Amanab	Amanab	Papua New Guinea	false
AMV	Amderma	Amderma	Russia	false
AMW	Ames	Ames	United States	false
AMX	Ammaroo	Ammaroo	Australia	false
AMY	Ambatomainty	Ambatomainty	Madagascar	false
AMZ	Ardmore	Ardmore	New Zealand	false
